,catalyst,catalyst_substrate,SA_element,SA_valence,co_elements,oxidant,pollutants,pollutant_constant,dose_catalyst,dose_oxidant,pH,catalyst_cycles,pilot_pollutant,pilot_time,ORS,EPR_signals,quencher,DOI
34,Fe-NC-NaCl,microporous carbon-supported Fe SACs,Fe,II,N,O3,50 ppm (methyl mercaptan),,1.0 mg,,,100,50 ppm (CH3SH),100 h,"O, O2-, 1O2","DMPO-*O2-, TEMP-1O2",,10.1002/adfm.202314187
35,CoSAs-NCs/CN/TiO2-10,carbon film wrapping TiO2,Co,between 0 and +2,N,PMS,10 mg/L (norfloxacin),0.0472 min-1 (norfloxacin),0.3 g/L,0.6 g/L,7,4,,,"SO4-, OH, 1O2","DMPO-OH, DMPO-SO4","significant inhibition (tert-butanol), significant inhibition (ethanol), significant inhibition (L-histidine)",10.1002/adfm.202414036
36,Fe-NS2C,graphitized carbon layer with sulfur and nitrogen co-doping,Fe,II,"N, S",PMS,"HBA, phenol, CBZ, BPA",0.501 min-1 (HBA),,,,6,"MB, HBA, phenol, BPA",,1O2,"DMPO-SO4•−/•OH, TEMP-1O2","significant inhibition (TEMP), significant inhibition (L-histidine), slight inhibition (methanol), slight inhibition (tert-butanol)",10.1002/adfm.202417441
37,FeCN,g-C3N4 nanotubes,Fe,III,N,PAA,10 mg/L (BPA),1.95 min-1 (BPA),0.15 g/L,0.5 × 10−3 m,7,,,,"CH3COO•, CH3COOO•, Fe(V)=O",DMPOX,"61.6% (HXA), significant inhibition (oxalate)",10.1002/adma.202202891
38,Mo-RPCN-L2,red polymeric carbon nitrides (RPCN) with local carbonization regions,Mo,between Mo4+ and Mo6+,"O, N",H2O2,"30 mg/L (methylene blue), 30 mg/L (rhodamine B)",28.8 mmol min-1 g-1 (thioanisole),,,10,,30 mg L-1 (methylene blue),1 min,"O2-, CH3, OH, OOH","DMPO-Ox, DMPO-O2-","45% reduction (DMPO), slight inhibition (NBT), slight inhibition (BQ)",10.1002/adma.202208704
39,Pd2+@Tp-TAPT,Tp-TAPT,Pd,II,"N, O",O2,10 ppm (phenol),0.3 g/L (phenol),0.3 g/L,,acidic,10,,,"OH, O2-, 1O2, H2O2","DMPO-OH, DMPO-O2-","complete inhibition (BQ), significant inhibition (t-BuOH), significant inhibition (catalase), significant inhibition (β-carotene)",10.1002/adma.202306758
40,OCN Co/Fe,graphitic carbon nitride (g-C3N4) with oxygen doping and cyano functional groups,"Co, Fe","+2 (Co), +2 to +3 (Fe)","N, O",peroxymonosulfate,5 mg/L (ciprofloxacin),0.91 min-1 (ciprofloxacin),0.02 g/L,1 mM,6.5,5,5 mg/L (ciprofloxacin),24 h,"SO4-, OH, O2-, 1O2","DMPO–•OH, DMPO–SO4•−, DMPO–O2•−, TEMP–1O2",O2- > OH > 1O2 > SO4- (inhibition values for OCN-Co/Fe/PMS system),10.1002/adma.202404278
41,0.3Fe-BNC,nitrogen-doped carbon (NC),Fe,2.666666667,N,PMS,30 μm (SMX),1.2 min-1 (SMX),0.1 g/L,0.06 g/L,7,120,,10 h,1O2,TEMP-1O2,"significant inhibition (TEMP), slight inhibition (MeOH), slight inhibition (PMSO)",10.1002/adma.202405832
42,Co-SA,nitrogen-doped carbon,Co,II,N,PMS,20 mg/L (CIP),10.55 min-1 (CIP),0.2 g/L,0.3 g/L,7,6,,,1O2,"TMP-1O2, COH, SO4C-","significant inhibition (ethanol), significant inhibition (tert-butanol)",10.1002/anie.202014472
43,CoN1O2/Mn3O4,Mn3O4,Co,2.26,"N, O",PMS,2 ppm (sulfamethoxazole),highest kper-site value (sulfamethoxazole),0.2 g/L,0.2 mM,6,6,,,CoIV=O,DMPOX,"complete stagnation (DMSO), negligible inhibition (TBA), slight inhibition (methanol)",10.1002/anie.202303267
44,Run/NC-850,N-doped carbon,,,,PMS,10 mg/L (RhB),0.98 min-1 (RhB),0.02 g/L,1 mM,6.8,5,,,1O2,TEMP-1O2,"significant inhibition (L-histidine), effective inhibition (furfuryl alcohol), no impact (tert-butanol), no impact (methanol)",10.1002/anie.202401551
45,"{[Cu6(CN)6]·HPD}n, CP1",{[Cu6(CN)6]·HPD}n,,,,H2O2,3.4 × 10-4 M (meloxicam),"0.039 min-1 (meloxicam), 0.044 min-1 (meloxicam)",0.025 g in 50 mL,1 M,9.5,5,,,"OH, h+",,"37.39% (isopropyl alcohol), weak to moderate inhibition (benzoquinone, ammonium oxalate)",10.1002/aoc.7682
46,C@Co,"N,O-codoped porous carbon nanospheres",,,,PMS,50 mg/L (methylene blue),0.2034 min-1 (methylene blue),0.1 g/L,0.167 g/L,4月8日,1,,,"1O2, OH, SO4-, O2-","DMPO-OH, DMPO-SO4, DMPO-OOH, TEMPO","slight inhibition (tert-butanol), significant inhibition (methanol), significant inhibition (p-benzoquinone), significant inhibition (sodium azide), significant inhibition (L-histidine)",10.1039/d0cp00679c
47,UNCu-SBA,SBA-15,Cu,II,O,H2O2,20 mg/L (p-hydroxybenzoic acid),0.083 min-1 (p-hydroxybenzoic acid),0.2 g/L,1000 ppm,4.3,3,,,OH,DMPO-OH,significant inhibition (tert-butyl alcohol),10.1039/d0en00505c
48,Pt1Ag1/C,carbon black (Ketjen black 300J),Pt,,Ag,H2O2,"5 mg/L (microcystin-LR), 5 mg/L (microcystin-RR)","0.1195 min-1 (microcystin-LR), 0.0786 min-1 (microcystin-RR)",1 mg/cm2,,3,,,,OH,,,10.1039/d0ta01869d
49,Co-C3N5,C3N5,Co,II,N,PMS,0.5 mg/L (PCB28),0.1998 min-1 (PCB28),0.2 g/L,2.0 mM,7,4,,,"SO4-, OH",DMPO-OH,"80% (100 mM methanol), 20% (100 mM TBA)",10.1039/d2en00216g
50,Fe–NC HMCS,N-doped hollow mesoporous carbon spheres,Fe,between 0 and III,N,PMS,20 ppm (BPA),2.77 min-1 (BPA),50 mg/L,30 mg/L,5.3,5,20 ppm (BPA),130 h,"1O2, O2-",TEMP-1O2,"slight inhibition (EtOH), significant inhibition (TBA), 22% (p-BQ), 31% (FFA)",10.1039/d2ta03268f
51,SAFe/CNS,N-doped carbon nanosheets,Fe,between +3 and +2,N,PMS,50 mg/L (BPA),1.925 min-1 (BPA),2 mg/20 mL,30 μM,7,5,0.1 mg/L (BPA),3 min,"1O2, O2˙−","TEMP–1O2, DMPO–O2˙−","significant inhibition (p-BQ), significant inhibition (FFA), no inhibition (methanol)",10.1039/d3en00030c
52,CPFFeN4+4,fully p-conjugated polyphthalocyanine frameworks,Fe,"II, III",N,PMS,20 mM (BPA),1.87 min-1 (BPA),0.1 g/L,0.15 mM,4,5,20 mM (BPA),30 operational cycles,"1O2, O2-, OH, SO4-","DMPO–O2c−, DMPO–cOH, DMPO–SO4c−, TEMP–1O2","significant inhibition (p-BQ), slight inhibition (methanol, tert-butanol), strong inhibition (FFA, TEMP, L-histidine, NaN3)",10.1039/d4ta01195c
53,MnC3N4,holey graphitic carbon nitride (g-C3N4) nanosheets,Mn,II,N,H2O2,"10 mg/L (enrofloxacin), 10 mg/L (ciprofloxacin), 10 mg/L (tetracycline), 10 mg/L (4-chlorophenol), 10 mg/L (rhodamine B)","0.058 min-1 (enrofloxacin), 0.11 min-1 (enrofloxacin), 0.24 min-1 (enrofloxacin)",0.1 g/L,1 mM,7,3,,,cO2−,"DMPO-O2-, DMPO-OH",,10.1039/d4ta02186j
54,Cu@TpPa-(CH3)2,ketoenamine-based covalent organic frameworks (COFs),Cu,II,"N, O",PMS,10 mg/L (CBZ),0.322 min-1 (CBZ),0.2 g/L,1.0 mmol/L,7,5,,,"OH, SO4-",DMPO-OH,"61% (methanol), 62% (formic acid), 51% (tert-butanol), slight inhibition (benzoquinone)",10.1039/d4ta04418e
55,NiNC,N-doped nanoporous carbon,Ni,II,N,H2O2,"20 ppm (methylene blue), 20 ppm (methyl orange), 20 ppm (rhodamine B)","0.767 min-1 (methylene blue), 0.431 min-1 (methyl orange), 0.226 min-1 (rhodamine B)",0.2 g/L,10 ppm,7,5,20 ppm (methylene blue),6 hours,OH,DMPO-OH,rapid decrease to zero (DMPO),10.1039/d4ta05189k
56,Sc/g-C3N4/MoSe2 CSM_2,g-C3N4/MoSe2,Sc,III,"N, Se",H2O2,10 mg/L (TBBPA),0.255 min-1 (TBBPA),0.2 g/L,49 mmol/L,10,5,10 mg/L (TBBPA),,OH,,"notable suppression (tert-butyl alcohol), notable suppression (p-benzoquinone)",10.1039/d4ta05800c
57,Ag/mpg-C3N4,mesoporous graphitic carbon nitride (mpg-C3N4),Ag,0,"C, N",PMS,20 mg/L (bisphenol A),0.098 min-1 (bisphenol A),0.1 g/L,1 mM,3,4,,,"SO4-, O2-, hVB+",BMPOX,"significant inhibition (methanol), slight inhibition (tert-butyl alcohol), significant inhibition (EDTA-2Na), significant inhibition (p-benzoquinone)",10.1016/j.apcatb.2017.03.079
58,La1-xTixFeO3,LaFeO3,,,,H2O2,25 mg/L (4-chlorophenol),0.0145 min-1 (4-chlorophenol),0.5 g/L,125 mg/L,,5,,,"HOx° (HO°, HOO°)",,,10.1016/j.apcatb.2019.118310
59,,,,,,,,,,,,,,,,,,
60,FexMo1-xS2,two-dimensional MoS2 nanosheets,Fe,II,S,sulfite,10 μM (propranolol),0.108 min-1 (propranolol),0.1 g/L,1 mM,4,5,,,"SO5-, SO4-, SO3-",DMPO-SO3•−,"slight inhibition (tert-butanol), 73% (100 mM ethanol), significant inhibition (aniline)",10.1016/j.apcatb.2019.118459
61,Mn-ISAs@CN,N-doped porous carbon,Mn,II,N,PMS,20 mg/L (BPA),1.138 min-1 (BPA),0.2 g/L,0.2 g/L,6,4,,,"OH, SO4-","DMPO-OH, DMPO-SO4","significant inhibition (methanol), significant inhibition (tert-butanol)",10.1016/j.apcatb.2020.119363
62,SAFe-CN,g-C3N4,Fe,"II, III","N, O",PMS,10 mg/L (o-phenylphenol),"0.5213 min-1 (2,4,6-TCP), 0.0118 min-1 (o-phenylphenol), 0.0096 min-1 (phenol)",0.1 g/L,0.4 g/L,11,100,10 mg/L (o-phenylphenol),100 h,1O2,DMPOX,"negligible inhibition (ethanol), negligible inhibition (tert-butyl alcohol), significant inhibition (20 mM furfuryl alcohol), no effect (5 mM benzoquinone), no effect (2 mM K2Cr2O7)",10.1016/j.apcatb.2021.120714
63,BCN/CoN[2+2],B-doped-CN network (BCN),Co,II,N,PMS,"50 mg/L (tetracycline), 10 mg/L (chloramphenicol), 50 mg/L (rhodamine B), 50 mg/L (methyl orange), 50 mg/L (p-nitrophenol)","0.16 min-1 (tetracycline), 0.8 min-1 (rhodamine B), 0.8 min-1 (methyl orange), 0.053 min-1 (chloramphenicol), 0.04 min-1 (p-nitrophenol)",0.6 g/L,0.6 g/L,7,5,,,1O2,"DMPO-OH, DMPO-SO4","complete inhibition (sodium azide), no inhibition (tert-butanol), no inhibition (ethanol)",10.1016/j.apcatb.2021.120759
64,FeCN5,carbon nitride,Fe,II,N,H2O2,20 mg/L (methylene blue),59.43 mg/L min-1 (methylene blue),0.5 g/L,8.75 mM,7,3,"10 mg/L (methylene blue), 10 mg/L (methyl orange)",,OH,,"79.36% (methanol), 86.37% (tert-butanol), minor effect (furfuryl alcohol)",10.1016/j.apcatb.2021.121009
65,Fe-SA/PHCNS,porous hollow g-C3N4 spheres,Fe,IV,N,PMS,10 mg/L (ACE),0.364 s-1 g-2 (ACE),0.1 g/L,0.2 g/L,7,5,5 mg/L (ACE),36 h,"Fe(IV)=O, Fe(V)=O","BMPO-OH, BMPO-SO4, TEMP-1O2","slight inhibition (ethanol), slight inhibition (tert-butyl alcohol), significant inhibition (furfuryl alcohol)",10.1016/j.apcatb.2021.121049
66,,,,,,,,,,,,,,,,,,
67,FeCNW3,graphitic carbon nitride (CN),Fe,II/III,"C, N",PMS,"20 mg/L (ATZ), 20 mg/L (BPA)","0.0167 min-1 (ATZ), 2.52 min-1 (BPA)",20 mg/L,0.75 mM,3.2,12,20 mg/L (BPA),170 h,"1O2, SO4-, OH","DMPO-OH, DMPO-SO4, TEMP-1O2","significant inhibition (FFA), mild inhibition (TBA, MeOH), no inhibition (p-BQ)",10.1016/j.apcatb.2022.121536
68,Fe-SAC/NC,nitrogen-doped porous carbon matrix,Fe,II,N,H2O2,"0.14 mM (2,4-dichlorophenol)","0.05 min-1 (2,4-dichlorophenol)",0.10 g/L,,3,5,,90 min,OH,,,10.1016/j.apcatb.2022.122116
69,FeP/Fe1-GO,graphene oxide,Fe,III,O,H2O2,0.01 g/L (tetracycline),0.097 min-1 (tetracycline),0.15 g/L,0.1 M,7,100,,,"OH, O2•-","DMPO-HO, DMPO-O2",,10.1016/j.apcatb.2022.122243
70,Cu-SA/MXene,Ti3C2Tx MXene,Cu,I/II,O,PMS,10 mg/L (BPA),0.6117 min-1 (BPA),0.5 g/L,2 mM,7,5,"Actual wastewater (COD removal > 80%, TOC removal > 50%)",8 h,1O2,TEMP-1O2,"slight inhibition (TBA), slight inhibition (EtOH), negligible inhibition (SOD), significant inhibition (FFA), significant inhibition (L-histidine), significant inhibition (β-carotene)",10.1016/j.apcatb.2022.122245
71,Co-SA/CMN,uneven graphite carbon nitride nanosheet,Co,between 0 and +2,N,PMS,1 mg/L (E2),0.41 min-1 (E2),0.1 g/L,0.1 mM,7,5,2 mg/L (E2),48 h,"1O2, OH, SO4-",TEMP–1O2,"slight inhibition (EtOH), slight inhibition (TBA), significant inhibition (FFA), significant inhibition (NaN3), significant inhibition (KI)",10.1016/j.apcatb.2022.122248
72,CoSA-PMOF,porphyrin metal–organic framework,Co,II,N,PMS,10 µM (moxifloxacin),0.91 min-1 (moxifloxacin),0.1 g/L,0.5 mM,6.8,5,10 μM (moxifloxacin),3 days,"SO4-, OH, 1O2","DMPO-SO4, DMPO-OH, TEMP-1O2","slight inhibition (p-benzoquinone), 14.3% (furfuryl alcohol), 93.3% (tert-butanol), 84.4% (methanol)",10.1016/j.apcatb.2022.122344
73,CoN3,nitrogen-doped carbon matrix,Co,IV,N,PMS,45 μM (RhB),1.1 min-1 (RhB),0.1 g/L,0.8 mM,7,4,,,"OH, SO4-, high-valent Co species","DMPO-OH, DMPO-SO4","slight inhibition (methanol), significant inhibition (KI), slight inhibition (tert-butanol), significant inhibition (PMSO)",10.1016/j.apcatb.2023.122368
74,Co-SA,biochar with nitrogen doping,Co,between 0 and +2,N,PMS,50 mM (sulfadoxin),0.05 min-1 (sulfadoxin),100 mg/L,0.5 mM,7,4,,,Co=O,"DMPO-OH, DMPO-SO4, TEMP-1O2","almost eliminated (PMSO), slight inhibition (MeOH), slight inhibition (t-BA), significant inhibition (FFA)",10.1016/j.apcatb.2023.122483
75,MCNC,nitrogen-doped porous carbon polyhedral,"Mn, Co",,N,PMS,20 mg/L (BPA),0.31 min-1 (BPA),0.03 g/L,0.1 g/L,,3,10 ppm (RhB),300 min,1O2,TEMP-1O2,"obvious inhibition (L-histidine), negligible inhibition (methanol, tert-butanol, phenol), slight inhibition (N2 atmosphere), 30% inhibition (DMSO)",10.1016/j.apcatb.2023.122656
